日付,時刻,乾球温度[C],絶対湿度[kg/kg],法線面直達日射[W/m2],全天日射[W/m2],拡散日射[W/m2],雲量,夜間放射[W/m2],太陽高度[radian],地中温度(0.675m)[C],地中温度(1.35m)[C],地中温度(2.35m)[C]
1959/01/02,11:00,-13.9,0.000960762127096567,4.44444444444444,73.6111111111111,71.606755011749,10,40.4333534319789,0.467863169262183,-0.101014360960626,5.41536155027505,10.6439331975582,
1959/01/02,12:00,-15,0.000961578876488296,4.44444444444444,74.1666666666667,72.1488765021584,10,39.751472372301,0.471252688417839,-0.107358346196948,5.40947598266608,10.6406487719077,
1959/01/02,13:00,-15,0.000960762127096567,4.44444444444444,65.2777777777778,63.459506862306,10,39.751472372301,0.421479537923602,-0.113697283131419,5.40359262523711,10.6373638652733,
1959/01/02,14:00,-15,0.00082421922085591,3.88888888888889,48.3333333333333,47.0913624813992,10,40.2732059704578,0.325058194476795,-0.120031168502983,5.39771148101481,10.6340784793448,
1959/01/02,15:00,-16.1,0.000776831434858162,2.77777777777778,26.3888888888889,25.8586726932988,10,39.775235760345,0.192056341597609,-0.126359999053204,5.39183255302474,10.6307926158124,
1959/01/02,16:00,-17.2,0.000732680420134728,0.555555555555556,3.33333333333333,3.26957998038628,10,39.2754069171564,0.11500940906501,-0.13268377152621,5.38595584429129,10.6275062763665,
1959/01/02,17:00,-17.8,0.000732061098048402,0,0,0,10,38.9084210085471,0,-0.139002482668763,5.38008135783771,10.6242194626978,
1959/01/02,18:00,-17.8,0.000589892369766078,0,0,0,10,39.5149648486072,0,-0.145316129230224,5.37420909668611,10.6209321764971,
1959/01/02,19:00,-18.3,0.000625615918377468,0,0,0,10,39.0475564572796,0,-0.151624707962538,5.3683390638575,10.6176444194556,
1959/01/02,20:00,-18.3,0.000529227163562634,0,0,0,10,39.4875622272458,0,-0.157928215620283,5.36247126237166,10.6143561932646,
1959/01/02,21:00,-18.9,0.000589892369766078,0,0,0,10,38.8384596750857,0,-0.164226648960632,5.35660569524728,10.6110674996158,
1959/01/02,22:00,-19.4,0.000561836789087744,0,0,0,10,38.6610207435716,0,-0.170520004743373,5.3507423655019,10.6077783402011,
1959/01/02,23:00,-18.9,0.000626144204718743,0,0,0,10,38.6811303078341,0,-0.176808279730899,5.34488127615187,10.6044887167125,
1959/01/03,0:00,-19.4,0.000590604187131943,0,0,0,10,38.5338457747743,0,-0.183091470688229,5.33902243021244,10.6011986308423,
1959/01/03,1:00,-18.9,0.000590604187131943,0,0,0,10,38.8384596750857,0,-0.189369574382988,5.33316583069767,10.5979080842832,
1959/01/03,2:00,-18.9,0.000562243548339624,0,0,0,10,38.9666399747159,0,-0.195642587585418,5.32731148062046,10.594617078728,
1959/01/03,3:00,-19.4,0.000562515048538921,0,0,0,10,38.6610207435716,0,-0.201910507068394,5.32145938299257,10.5913256158697,
1959/01/03,4:00,-20,0.000530569902680882,0,0,0,10,38.4444364017496,0,-0.208173329607384,5.31560954082461,10.5880336974016,
1959/01/03,5:00,-20.6,0.000447586681833025,0,0,0,8,51.0322751789613,0,-0.214431051980501,5.30976195712601,10.5847413250172,
1959/01/03,6:00,-20.6,0.00053012156655741,0,0,0,10,38.0812559214956,0,-0.220683670968487,5.30391663490505,10.5814485004103,
1959/01/03,7:00,-20.6,0.000446885223276472,2.22222222222222,6.94444444444444,6.73399554239463,9,44.7544952958351,0.0948441356302869,-0.226931183354678,5.29807357716883,10.5781552252749,
1959/01/03,8:00,-20.6,0.000446508424740142,33.0555555555556,80,74.2927609403302,10,38.4767154127089,0.173525502013752,-0.233173585925071,5.2922327869233,10.5748615013051,
1959/01/03,9:00,-21.1,0.000399414178537799,8.61111111111111,104.166666666667,101.533786711033,10,38.412247188615,0.31073004484197,-0.239410875468272,5.28639426717325,10.5715673301955,
1959/01/03,10:00,-22.2,0.000424594904020279,9.16666666666667,139.444444444444,135.767647509624,10,37.6191426853906,0.412722948749129,-0.245643048775516,5.28055802092229,10.5682727136406,
1959/01/03,11:00,-20,0.000399943799197442,916.388888888889,460,45.5980455229777,2,90.1062974080225,0.469243734210493,-0.251870102640691,5.27472405117285,10.5649776533355,
1959/01/03,12:00,-18.9,0.000447208699976221,889.166666666667,446.944444444444,41.8478658105654,4,78.214376952022,0.47303631828808,-0.258092033860295,5.26889236092621,10.5616821509752,
1959/01/03,13:00,-18.9,0.000358011009881144,453.055555555556,299.722222222222,113.510509726903,5,72.645201765483,0.423564955696163,-0.264308839233475,5.26306295318247,10.5583862082551,
1959/01/03,14:00,-19.4,0.000447208699976221,449.444444444444,233.888888888889,89.3857920613467,8,52.0091364950406,0.327328924550143,-0.270520515562005,5.25723583094055,10.5550898268708,
1959/01/03,15:00,-20.6,0.00047474842910839,613.055555555556,163.055555555556,44.615510263793,8,50.8513971206725,0.194418749493142,-0.276727059650312,5.2514109971982,10.5517930085181,
1959/01/03,16:00,-20.6,0.000424953197598097,53.6111111111111,20.5555555555556,14.2764176126999,6,63.7713531810758,0.117393267090628,-0.282928468305444,5.245588454952,10.5484957548931,
1959/01/03,17:00,-21.1,0.000424748384402704,0,0,0,6,63.2678313386043,0,-0.289124738337108,5.23976820719733,10.545198067692,
1959/01/03,18:00,-21.7,0.000424594904020279,0,0,0,6,62.6675477955543,0,-0.295315866557655,5.2339502569284,10.5418999486113,
1959/01/03,19:00,-21.7,0.000424594904020279,0,0,0,7,56.480624287076,0,-0.301501849782056,5.22813460713826,10.5386013993478,
1959/01/03,20:00,-20.6,0.000399751047435384,0,0,0,7,57.6693735540688,0,-0.307682684827965,5.22232126081874,10.5353024215982,
1959/01/03,21:00,-20.6,0.000424594904020279,0,0,0,7,57.4754552555556,0,-0.313858368515659,5.21651022096051,10.5320030170599,
1959/01/03,22:00,-20.6,0.00047394819539596,0,0,0,7,57.1069261315488,0,-0.320028897668069,5.21070149055304,10.5287031874301,
1959/01/03,23:00,-22.2,0.000339274086909893,0,0,0,6,62.9141630420431,0,-0.326194269110788,5.20489507258461,10.5254029344065,
1959/01/04,0:00,-23.3,0.000253494215547449,0,0,0,3,81.2097185234009,0,-0.332354479672055,5.19909097004233,10.5221022596868,
1959/01/04,1:00,-24.4,0.000211521535676039,0,0,0,0,98.7387553587182,0,-0.338509526182763,5.19328918591211,10.5188011649692,
1959/01/04,2:00,-23.3,0.000178088927300337,0,0,0,0,101.135471438784,0,-0.34465940547646,5.18748972317864,10.5154996519517,
1959/01/04,3:00,-23.3,0.000318078813948518,0,0,0,0,98.7354708565641,0,-0.350804114389364,5.18169258482547,10.5121977223329,
1959/01/04,4:00,-23.3,0.000237574980688054,0,0,0,0,100.030462578852,0,-0.356943649760339,5.1758977738349,10.5088953778115,
1959/01/04,5:00,-23.3,0.000211343832753061,0,0,0,0,100.496909372969,0,-0.363078008430914,5.17010529318806,10.5055926200864,
1959/01/04,6:00,-23.3,0.000237290078245784,0,0,0,0,100.030462578852,0,-0.369207187245294,5.16431514586489,10.5022894508565,
1959/01/04,7:00,-23.9,0.000317279021887673,60.8333333333333,21.9444444444444,16.1771675803786,0,97.7904522086807,0.0949471443562774,-0.375331183050324,5.15852733484411,10.4989858718213,
